judge_model,judge_prompt,generator_model,summary_style,completeness_and_relevance.score,factual_accuracy.score,hallucination.score,prompt_following.score,research_question.score,terminology_explanation_and_coherence.score,total_score
gemini,basic,anthropic,bullets,8.75,9.95,10.0,0.5,9.65,8.6,47.0
gemini,basic,anthropic,long,7.35,9.0,9.75,0.75,9.6,8.15,43.8
gemini,basic,anthropic,paraphrase,10.0,9.85,8.5,4.0,9.75,8.95,50.5
gemini,basic,anthropic,short,9.95,9.9,9.0,6.75,9.85,9.25,55.45
gemini,basic,anthropic,shuffle,9.7,9.85,9.0,7.65,9.75,9.05,55.2
gemini,basic,gemini,bullets,9.0,9.95,10.0,2.0,9.7,8.35,48.1
gemini,basic,gemini,long,8.5,9.9,10.0,2.0,9.4,8.8,48.65
gemini,basic,gemini,paraphrase,9.9,9.9,10.0,7.25,9.65,9.25,56.05
gemini,basic,gemini,short,9.8,9.95,10.0,9.0,9.6,9.15,56.95
gemini,basic,gemini,shuffle,9.7,9.95,10.0,9.4,9.5,8.85,57.3
gemini,basic,llama3,bullets,6.15,7.55,6.2,3.1,7.5,6.6,36.75
gemini,basic,llama3,long,5.4,7.7,7.35,0.25,8.0,7.7,37.7
gemini,basic,llama3,paraphrase,6.6,8.1,7.0,5.5,7.8,7.9,41.8
gemini,basic,llama3,short,6.05,7.0,6.75,8.25,7.55,7.25,42.95
gemini,basic,llama3,shuffle,6.2,7.2,6.9,7.25,7.75,7.35,41.75
gemini,basic,openai,bullets,10.0,9.95,10.0,0.5,9.75,8.7,48.5
gemini,basic,openai,long,9.0,9.8,9.0,1.6,9.65,9.05,47.8
gemini,basic,openai,paraphrase,10.0,9.9,9.5,5.0,9.6,9.3,53.15
gemini,basic,openai,short,10.0,10.0,10.0,8.5,9.8,9.4,57.2
gemini,basic,openai,shuffle,9.95,10.0,10.0,7.25,9.8,9.4,56.1
gemini,full,anthropic,bullets,9.75,9.95,10.0,0.25,9.25,7.9,47.05
gemini,full,anthropic,long,7.6,8.3,9.75,0.0,8.2,8.25,42.2
gemini,full,anthropic,paraphrase,9.9,9.95,10.0,3.85,9.8,8.45,52.2
gemini,full,anthropic,short,9.95,9.95,10.0,6.75,9.2,8.65,54.75
gemini,full,anthropic,shuffle,9.75,9.8,10.0,7.0,9.75,8.4,54.7
gemini,full,gemini,bullets,9.65,10.0,10.0,0.75,9.1,7.95,47.1
gemini,full,gemini,long,9.35,9.65,10.0,0.9,9.0,8.4,47.5
gemini,full,gemini,paraphrase,9.9,9.9,10.0,8.0,9.8,8.85,56.1
gemini,full,gemini,short,9.95,9.95,10.0,9.25,9.75,9.1,57.65
gemini,full,gemini,shuffle,9.95,10.0,10.0,9.5,9.8,8.9,58.25
gemini,full,llama3,bullets,5.95,6.75,6.8,1.85,6.05,7.2,34.9
gemini,full,llama3,long,4.3,4.3,7.15,0.0,5.0,4.95,25.75
gemini,full,llama3,paraphrase,5.55,6.55,6.85,5.8,6.2,7.1,37.45
gemini,full,llama3,short,5.05,5.55,6.75,7.5,6.35,7.25,36.85
gemini,full,llama3,shuffle,4.8,5.8,5.6,7.75,5.9,6.85,35.8
gemini,full,openai,bullets,10.0,10.0,10.0,0.0,9.6,8.0,47.5
gemini,full,openai,long,9.65,9.45,10.0,0.75,9.7,8.65,47.95
gemini,full,openai,paraphrase,9.95,9.85,10.0,4.25,9.8,8.7,52.7
gemini,full,openai,short,10.0,10.0,10.0,7.5,9.3,8.85,55.3
gemini,full,openai,shuffle,10.0,10.0,10.0,8.5,9.95,8.95,57.4
openai,full,anthropic,short,9.05,8.75,8.95,6.1,9.05,7.8,49.7
openai,full,gemini,short,8.05,8.7,9.1,10.0,8.75,7.9,52.5
openai,full,llama3,short,3.9,3.4,3.75,7.25,5.1,6.1,29.5
openai,full,openai,short,9.3,9.1,9.45,10.0,9.25,8.2,55.3
